exchange	stock_symbol	date	stock_price_open	stock_price_high	stock_price_low	stock_price_close	stock_volume	stock_price_adj_close
NASDAQ	JDAS	1996/3/18	25.41	26.59	25.15	26.46	488900	26.46
NASDAQ	JDAS	1996/3/19	25.42	25.84	24.94	25.49	1121700	25.49
NASDAQ	JDAS	1996/3/20	26.53	26.61	25.46	25.46	574900	25.46
NASDAQ	JDAS	1996/3/21	27.09	27.14	26.45	26.63	736900	26.63
NASDAQ	JDAS	1996/3/22	26.2	28.1	25.98	27.23	929100	27.23
NASDAQ	JDAS	1996/3/25	26.21	26.49	25.83	26.25	417600	26.25
NASDAQ	JDAS	1996/3/26	26.91	27.53	26.02	26.21	883100	26.21
NASDAQ	JDAS	1996/3/27	27.86	27.97	26.84	26.88	1272600	26.88
NASDAQ	JDAS	1996/3/28	27.48	27.93	27.2	27.68	560100	27.68
NASDAQ	JDAS	1996/3/29	26.29	27.79	25.95	27.5	1120000	27.5
NASDAQ	JDAS	1996/4/1	26.6	26.7	25.77	25.88	726600	25.88
NASDAQ	JDAS	1996/4/2	26.51	27.06	26.3	26.35	356200	26.35
NASDAQ	JDAS	1996/4/3	26.72	27.08	26.48	26.66	274900	26.66
NASDAQ	JDAS	1996/4/4	27.35	27.48	26.52	26.77	316500	26.77
NASDAQ	JDAS	1996/4/8	27.22	27.82	27.04	27.59	318000	27.59
NASDAQ	JDAS	1996/4/9	27.81	27.9	26.83	27.2	281100	27.2
NASDAQ	JDAS	1996/4/10	27.56	28.06	27.55	27.72	236000	27.72
NASDAQ	JDAS	1996/4/11	27.4	27.98	26.96	27.71	381600	27.71
NASDAQ	JDAS	1996/4/12	25.66	27.74	25.65	27.3	860400	27.3
NASDAQ	JDAS	1996/4/15	25.91	25.97	25.22	25.86	219900	25.86
NASDAQ	JDAS	1996/4/16	25.21	25.59	25.04	25.43	145800	25.43
NASDAQ	JDAS	1996/4/17	25.32	25.41	24.94	25.35	156900	25.35
NASDAQ	JDAS	1996/4/18	25.59	25.87	25.15	25.26	174700	25.26
NASDAQ	JDAS	1996/4/19	25.9	26	25.47	25.69	152000	25.69
NASDAQ	JDAS	1996/4/22	25.76	26.01	25.46	26	259600	26
NASDAQ	JDAS	1996/4/23	25.97	26.13	25.47	25.47	283600	25.47
NASDAQ	JDAS	1996/4/24	25.74	26.25	25.61	26.05	236300	26.05
NASDAQ	JDAS	1996/4/25	25.98	25.98	25.52	25.76	238600	25.76
NASDAQ	JDAS	1996/4/26	25.96	26.04	25.57	25.89	203400	25.89
NASDAQ	JDAS	1996/4/29	26.01	26.2	25.77	25.82	128300	25.82
NASDAQ	JDAS	1996/4/30	26.04	26.17	25.72	26.02	323100	26.02
NASDAQ	JDAS	1996/5/1	25.24	26.02	25.15	25.91	465500	25.91
NASDAQ	JDAS	1996/5/2	25.09	25.43	24.9	25.25	538100	25.25
NASDAQ	JDAS	1996/5/3	24.33	25.33	24.19	25.04	1405300	25.04
NASDAQ	JDAS	1996/5/6	23.58	24.4	23.33	24.33	539100	24.33
NASDAQ	JDAS	1996/5/7	23.4	23.94	23.33	23.84	652200	23.84
NASDAQ	JDAS	1996/5/8	23.6	23.61	23.2	23.23	351000	23.23
NASDAQ	JDAS	1996/5/9	23.3	23.62	22.75	23.61	365000	23.61
NASDAQ	JDAS	1996/5/10	23.21	23.44	22.87	23.13	220400	23.13
NASDAQ	JDAS	1996/5/13	23.73	23.78	22.94	23.05	599700	23.05
NASDAQ	JDAS	1996/5/14	23.91	23.97	23.4	23.66	303200	23.66
NASDAQ	JDAS	1996/5/15	24.55	24.59	23.9	23.94	305300	23.94
NASDAQ	JDAS	1996/5/16	24.62	24.66	24.28	24.61	347400	24.61
NASDAQ	JDAS	1996/5/17	23.43	24.66	23.43	24.57	358000	24.57
NASDAQ	JDAS	1996/5/20	24.03	24.45	23.65	23.91	375700	23.91
NASDAQ	JDAS	1996/5/21	24.23	24.49	23.76	23.89	294800	23.89
NASDAQ	JDAS	1996/5/22	23.68	24.3	23.54	24.16	498600	24.16
NASDAQ	JDAS	1996/5/23	23.39	23.65	22.78	23.48	522000	23.48
NASDAQ	JDAS	1996/5/24	23.12	23.71	23.1	23.54	144900	23.54
NASDAQ	JDAS	1996/5/28	23.96	24	23.59	23.82	220400	23.82
NASDAQ	JDAS	1996/5/29	24.17	24.24	23.6	23.95	298400	23.95
NASDAQ	JDAS	1996/5/30	24.04	24.5	23.9	24.23	178700	24.23
NASDAQ	JDAS	1996/5/31	23.9	24.12	23.5	23.75	266600	23.75
NASDAQ	JDAS	1996/6/3	25.09	25.17	23.95	24	682900	24
NASDAQ	JDAS	1996/6/4	24.91	25.58	24.59	25.12	599500	25.12
NASDAQ	JDAS	1996/6/5	24.45	25	24.38	24.98	387500	24.98
NASDAQ	JDAS	1996/6/6	23.93	24.73	23.93	24.65	444400	24.65
NASDAQ	JDAS	1996/6/7	23.92	24	23.31	23.91	481700	23.91
NASDAQ	JDAS	1996/6/10	23.85	24.06	23.8	23.93	611800	23.93
NASDAQ	JDAS	1996/6/11	23.78	24.11	23.71	23.88	375900	23.88
NASDAQ	JDAS	1996/6/12	23.25	23.67	22.85	23.66	369500	23.66
NASDAQ	JDAS	1996/6/13	22.3	23.5	22.29	23.41	518800	23.41
NASDAQ	JDAS	1996/6/14	21.83	22.33	21.75	22.14	756300	22.14
NASDAQ	JDAS	1996/6/17	19.9	22.36	19.72	22.08	1809000	22.08
NASDAQ	JDAS	1996/6/18	20.47	20.8	19.99	20.7	450300	20.7
NASDAQ	JDAS	1996/6/19	20.39	20.55	20.01	20.45	258800	20.45
NASDAQ	JDAS	1996/6/20	19.99	21.05	19.57	20.57	740000	20.57
NASDAQ	JDAS	1996/6/21	20.79	20.91	19.82	19.84	333000	19.84
NASDAQ	JDAS	1996/6/24	20.59	21.04	20.26	20.85	526700	20.85
NASDAQ	JDAS	1996/6/25	21.35	21.35	20.36	20.5	249500	20.5
NASDAQ	JDAS	1996/6/26	21.76	21.97	21.34	21.44	152200	21.44
NASDAQ	JDAS	1996/6/27	22.33	22.89	21.69	21.81	196100	21.81
NASDAQ	JDAS	1996/6/28	22.35	22.75	22.13	22.25	331200	22.25
NASDAQ	JDAS	1996/7/1	21.92	22.37	21.69	22.3	318100	22.3
NASDAQ	JDAS	1996/7/2	21.8	22.36	21.8	21.99	550800	21.99
NASDAQ	JDAS	1996/7/3	22.69	23	21.53	21.95	1056300	21.95
NASDAQ	JDAS	1996/7/5	23.19	23.27	22.69	23.09	427900	23.09
NASDAQ	JDAS	1996/7/8	23.69	23.69	22.73	23.02	304200	23.02
NASDAQ	JDAS	1996/7/9	23.77	23.91	23.17	23.75	257100	23.75
NASDAQ	JDAS	1996/7/10	23.25	24.29	23.18	24	335500	24
NASDAQ	JDAS	1996/7/11	22.74	23.25	22.59	23.09	215800	23.09
NASDAQ	JDAS	1996/7/12	23.44	23.59	22.66	22.85	194200	22.85
NASDAQ	JDAS	1996/7/15	22.49	23.28	22.12	23.26	389300	23.26
NASDAQ	JDAS	1996/7/16	21.27	22.59	21.27	22.48	551800	22.48
NASDAQ	JDAS	1996/7/17	20.8	21.28	20.67	21.09	227400	21.09
NASDAQ	JDAS	1996/7/18	20.74	21.07	20.19	20.76	383900	20.76
NASDAQ	JDAS	1996/7/19	20.45	20.77	19.97	20.63	333900	20.63
NASDAQ	JDAS	1996/7/22	20.86	21.1	20.34	20.42	435800	20.42
NASDAQ	JDAS	1996/7/23	21.92	21.98	21.07	21.07	289500	21.07
NASDAQ	JDAS	1996/7/24	22.45	22.56	21.71	21.94	233400	21.94
NASDAQ	JDAS	1996/7/25	22.9	22.93	22.33	22.37	141800	22.37
NASDAQ	JDAS	1996/7/26	22.47	23.07	22.36	22.81	175400	22.81
NASDAQ	JDAS	1996/7/29	22.35	22.65	22.05	22.3	156900	22.3
NASDAQ	JDAS	1996/7/30	22.8	22.96	22.34	22.47	164500	22.47
NASDAQ	JDAS	1996/7/31	23.04	23.69	22.84	22.87	171600	22.87
NASDAQ	JDAS	1996/8/1	23.49	23.51	22.9	22.94	390300	22.94
NASDAQ	JDAS	1996/8/2	23.43	23.69	23.17	23.41	101800	23.41
NASDAQ	JDAS	1996/8/5	23.38	23.87	23.21	23.69	281500	23.69
NASDAQ	JDAS	1996/8/6	23.09	23.61	22.81	23.37	230000	23.37
NASDAQ	JDAS	1996/8/7	23.1	23.2	22.8	23.08	214800	23.08
NASDAQ	JDAS	1996/8/8	22.54	23.14	22.54	23.1	291100	23.1
NASDAQ	JDAS	1996/8/9	22.5	22.69	21.92	22.65	315900	22.65
NASDAQ	JDAS	1996/8/12	23.22	23.65	22.52	22.58	344000	22.58
NASDAQ	JDAS	1996/8/13	22.67	23.38	22.28	23.05	965500	23.05
NASDAQ	JDAS	1996/8/14	19.75	22.86	19.75	22.75	1249700	22.75
NASDAQ	JDAS	1996/8/16	19.88	19.89	19.44	19.6	231100	19.6
NASDAQ	JDAS	1996/8/19	19.48	19.82	19.22	19.79	128500	19.79
NASDAQ	JDAS	1996/8/20	19.11	19.48	18.84	19.46	145300	19.46
NASDAQ	JDAS	1996/8/21	19.15	19.35	18.89	18.93	165900	18.93
NASDAQ	JDAS	1996/8/22	19.18	19.77	18.97	19.21	273100	19.21
NASDAQ	JDAS	1996/8/23	19.54	19.73	19.2	19.34	197900	19.34
NASDAQ	JDAS	1996/8/26	20.06	20.29	19.49	19.6	115100	19.6
NASDAQ	JDAS	1996/8/27	20	20.21	19.61	19.85	202100	19.85
NASDAQ	JDAS	1996/8/28	19.96	20.2	19.71	19.92	183200	19.92
NASDAQ	JDAS	1996/8/29	19.73	20.17	19.57	20.12	298700	20.12
NASDAQ	JDAS	1996/8/30	20.23	20.41	19.54	19.7	578100	19.7
NASDAQ	JDAS	1996/9/3	19.96	20.31	19.57	20.23	412000	20.23
