exchange	stock_symbol	date	stock_price_open	stock_price_high	stock_price_low	stock_price_close	stock_volume	stock_price_adj_close	avgg	rand
NASDAQ	JDAS	2010-02-08	25.41	26.59	25.15	26.46	488900	26.46	26	587
NASDAQ	JDAS	2010-02-05	25.42	25.84	24.94	25.49	1121700	25.49	25.63	586
NASDAQ	JDAS	2010-02-04	26.53	26.61	25.46	25.46	574900	25.46	26.57	586
NASDAQ	JDAS	2010-02-03	27.09	27.14	26.45	26.63	736900	26.63	27.115	585
NASDAQ	JDAS	2010-02-02	26.2	28.1	25.98	27.23	929100	27.23	27.15	584
NASDAQ	JDAS	2010-02-01	26.21	26.49	25.83	26.25	417600	26.25	26.35	583
NASDAQ	JDAS	2010-01-29	26.91	27.53	26.02	26.21	883100	26.21	27.22	582
NASDAQ	JDAS	2010-01-28	27.86	27.97	26.84	26.88	1272600	26.88	27.915	580
NASDAQ	JDAS	2010-01-27	27.48	27.93	27.2	27.68	560100	27.68	27.705	578
NASDAQ	JDAS	2010-01-26	26.29	27.79	25.95	27.5	1120000	27.5	27.04	575
NASDAQ	JDAS	2010-01-25	26.6	26.7	25.77	25.88	726600	25.88	26.65	572
NASDAQ	JDAS	2010-01-22	26.51	27.06	26.3	26.35	356200	26.35	26.785	568
NASDAQ	JDAS	2010-01-21	26.72	27.08	26.48	26.66	274900	26.66	26.9	566
NASDAQ	JDAS	2010-01-20	27.35	27.48	26.52	26.77	316500	26.77	27.415	563
NASDAQ	JDAS	2010-01-19	27.22	27.82	27.04	27.59	318000	27.59	27.52	560
NASDAQ	JDAS	2010-01-15	27.81	27.9	26.83	27.2	281100	27.2	27.855	556
NASDAQ	JDAS	2010-01-14	27.56	28.06	27.55	27.72	236000	27.72	27.81	553
NASDAQ	JDAS	2010-01-13	27.4	27.98	26.96	27.71	381600	27.71	27.69	549
NASDAQ	JDAS	2010-01-12	25.66	27.74	25.65	27.3	860400	27.3	26.7	547
NASDAQ	JDAS	2010-01-11	25.91	25.97	25.22	25.86	219900	25.86	25.94	544
NASDAQ	JDAS	2010-01-08	25.21	25.59	25.04	25.43	145800	25.43	25.4	540
NASDAQ	JDAS	2010-01-07	25.32	25.41	24.94	25.35	156900	25.35	25.365	536
NASDAQ	JDAS	2010-01-06	25.59	25.87	25.15	25.26	174700	25.26	25.73	532
NASDAQ	JDAS	2010-01-05	25.9	26	25.47	25.69	152000	25.69	25.95	529
NASDAQ	JDAS	2010-01-04	25.76	26.01	25.46	26	259600	26	25.885	525
NASDAQ	JDAS	2009-12-31	25.97	26.13	25.47	25.47	283600	25.47	26.05	522
NASDAQ	JDAS	2009-12-30	25.74	26.25	25.61	26.05	236300	26.05	25.995	519
NASDAQ	JDAS	2009-12-29	25.98	25.98	25.52	25.76	238600	25.76	25.98	515
NASDAQ	JDAS	2009-12-28	25.96	26.04	25.57	25.89	203400	25.89	26	512
NASDAQ	JDAS	2009-12-24	26.01	26.2	25.77	25.82	128300	25.82	26.105	508
NASDAQ	JDAS	2009-12-23	26.04	26.17	25.72	26.02	323100	26.02	26.105	502
NASDAQ	JDAS	2009-12-22	25.24	26.02	25.15	25.91	465500	25.91	25.63	499
NASDAQ	JDAS	2009-12-21	25.09	25.43	24.9	25.25	538100	25.25	25.26	496
NASDAQ	JDAS	2009-12-18	24.33	25.33	24.19	25.04	1405300	25.04	24.83	492
NASDAQ	JDAS	2009-12-17	23.58	24.4	23.33	24.33	539100	24.33	23.99	488
NASDAQ	JDAS	2009-12-16	23.4	23.94	23.33	23.84	652200	23.84	23.67	482
NASDAQ	JDAS	2009-12-15	23.6	23.61	23.2	23.23	351000	23.23	23.605	479
NASDAQ	JDAS	2009-12-14	23.3	23.62	22.75	23.61	365000	23.61	23.46	475
NASDAQ	JDAS	2009-12-11	23.21	23.44	22.87	23.13	220400	23.13	23.325	471
NASDAQ	JDAS	2009-12-10	23.73	23.78	22.94	23.05	599700	23.05	23.755	467
NASDAQ	JDAS	2009-12-09	23.91	23.97	23.4	23.66	303200	23.66	23.94	463
NASDAQ	JDAS	2009-12-08	24.55	24.59	23.9	23.94	305300	23.94	24.57	459
NASDAQ	JDAS	2009-12-07	24.62	24.66	24.28	24.61	347400	24.61	24.64	454
NASDAQ	JDAS	2009-12-04	23.43	24.66	23.43	24.57	358000	24.57	24.045	448
NASDAQ	JDAS	2009-12-03	24.03	24.45	23.65	23.91	375700	23.91	24.24	443
NASDAQ	JDAS	2009-12-02	24.23	24.49	23.76	23.89	294800	23.89	24.36	437
